Feature,MeanAbsSHAP
GC Box,0.5701921598529839
Sp1 Binding Site,0.49192380746568265
BRE (TFIIB),0.45462536027462475
CAAT Box,0.23587506406003628
CpG Island,0.1154340207746071
TATA Box,0.0803927647102999
PPE,0.07314979014041423
Octamer Motif,0.0641308622903473
RFX Binding Site,0.02636471417483109
MRE,0.019957057672436735
E-box,0.00793649648201227
