TATA Box,CAAT Box,GC Box,CpG Island,BRE (TFIIB),MRE,PPE,Octamer Motif,Sp1 Binding Site,E-box,RFX Binding Site,alpha_seq,alpha_graph,label
1.0986123,0.6931472,1.7917595,1.0986123,3.218876,1.3862944,1.3862944,0.0,0.6931472,3.4011974,0.0,0.048730168491601944,0.9972127079963684,0.0
1.9459102,1.0986123,1.609438,1.0986123,3.0910425,0.0,1.7917595,0.0,0.0,3.0910425,0.0,0.018691612407565117,0.9931674599647522,1.0
0.6931472,0.0,1.609438,1.0986123,3.6109178,1.9459102,0.6931472,1.0986123,0.0,3.0910425,0.0,0.036508623510599136,0.9953847527503967,0.0
1.3862944,1.3862944,2.3025851,1.609438,4.1108737,2.3025851,1.609438,0.0,0.6931472,3.0910425,0.0,0.01859484240412712,0.9993995428085327,0.0
1.3862944,0.6931472,2.3978953,1.609438,3.5263605,0.6931472,0.6931472,0.0,0.0,3.8286414,0.0,0.017487021163105965,0.9971565008163452,1.0
0.6931472,1.7917595,2.0794415,1.3862944,3.0445225,0.6931472,1.0986123,0.0,0.6931472,3.3672957,0.0,0.03270893916487694,0.9987021684646606,0.0
0.0,0.0,2.8332133,1.9459102,3.713572,1.3862944,1.609438,0.0,1.609438,3.9318256,0.0,0.11031229048967361,0.9997032284736633,1.0
1.7917595,0.6931472,1.609438,1.3862944,3.295837,1.0986123,1.609438,0.0,0.6931472,3.5553482,0.0,0.030474979430437088,0.9966932535171509,1.0
0.0,0.0,2.4849067,1.7917595,3.912023,1.0986123,0.6931472,0.0,0.6931472,4.0430512,0.0,0.07031555473804474,0.9989243149757385,0.0
1.9459102,0.6931472,1.609438,1.0986123,2.8903718,0.0,1.609438,0.0,0.0,3.3322046,0.0,0.02363462746143341,0.9898848533630371,1.0
0.0,1.7917595,1.9459102,1.609438,3.4965076,1.3862944,0.6931472,0.0,0.6931472,3.8918204,0.0,0.046677350997924805,0.999046266078949,1.0
0.0,0.0,2.8332133,2.3025851,4.5108595,2.4849067,1.0986123,0.0,1.0986123,3.637586,0.0,0.06597103178501129,0.9997218251228333,0.0
1.0986123,0.6931472,1.7917595,1.0986123,3.218876,1.3862944,1.3862944,0.0,0.6931472,3.4011974,0.0,0.048730168491601944,0.9972127079963684,0.0
1.0986123,0.0,1.3862944,1.609438,3.4339871,2.0794415,1.0986123,0.0,0.0,3.583519,0.0,0.04149791598320007,0.9904532432556152,0.0
0.6931472,0.0,2.3978953,1.3862944,3.7612002,1.7917595,1.609438,0.0,1.3862944,3.4011974,0.0,0.08171828836202621,0.9993590712547302,1.0
1.3862944,0.6931472,2.5649493,2.0794415,4.0073333,1.609438,1.7917595,0.0,1.0986123,3.295837,0.0,0.03395689278841019,0.9995924830436707,1.0
1.609438,1.3862944,2.8332133,1.0986123,3.1780539,0.0,2.1972246,0.0,1.609438,3.4011974,0.0,0.03865598514676094,0.9996767044067383,0.0
1.0986123,0.6931472,1.9459102,0.6931472,2.1972246,0.0,1.0986123,0.0,0.0,3.5553482,0.0,0.04887944459915161,0.9876115918159485,0.0
0.6931472,0.0,1.609438,1.0986123,3.6109178,1.9459102,0.6931472,1.0986123,0.0,3.0910425,0.0,0.036508623510599136,0.9953847527503967,0.0
1.3862944,0.0,1.609438,1.609438,3.0445225,0.6931472,1.0986123,0.0,0.0,3.4011974,0.0,0.03844422101974487,0.9890038371086121,1.0
0.6931472,1.0986123,0.0,0.0,2.5649493,0.0,0.0,0.6931472,0.0,3.3672957,0.0,0.0632534772157669,0.9536542892456055,0.0
1.0986123,0.6931472,1.7917595,1.0986123,3.218876,1.3862944,1.3862944,0.0,0.6931472,3.4011974,0.0,0.048730168491601944,0.9972127079963684,0.0
0.0,0.6931472,2.1972246,1.9459102,3.637586,1.3862944,0.6931472,0.0,0.6931472,3.4965076,0.0,0.06291274726390839,0.9989017248153687,0.0
0.0,0.0,2.4849067,1.7917595,3.912023,1.0986123,0.6931472,0.0,0.6931472,4.0430512,0.0,0.07031555473804474,0.9989243149757385,0.0
0.0,0.0,2.4849067,1.7917595,3.912023,1.0986123,0.6931472,0.0,0.6931472,4.0430512,0.0,0.07031555473804474,0.9989243149757385,0.0
1.3862944,1.0986123,0.0,1.0986123,2.7725887,1.0986123,1.3862944,0.0,0.0,3.5553482,0.0,0.03560718148946762,0.959572970867157,1.0
1.0986123,0.6931472,1.0986123,1.9459102,3.0910425,0.6931472,0.6931472,0.6931472,0.0,3.7612002,0.0,0.021859310567378998,0.9911049008369446,1.0
0.6931472,0.0,1.3862944,0.0,2.3025851,0.0,0.6931472,0.0,0.0,3.6888795,0.0,0.09037473052740097,0.9683337211608887,1.0
1.7917595,0.6931472,1.7917595,0.6931472,3.465736,1.609438,1.9459102,0.6931472,1.0986123,3.3672957,0.0,0.032582011073827744,0.9986947178840637,0.0
1.3862944,1.3862944,2.3025851,1.609438,4.1108737,2.3025851,1.609438,0.0,0.6931472,3.0910425,0.0,0.01859484240412712,0.9993995428085327,0.0
0.0,0.0,2.7080503,2.0794415,4.3307333,2.4849067,1.3862944,0.0,1.3862944,3.3322046,0.0,0.08849610388278961,0.9997279047966003,0.0
1.0986123,0.0,2.3978953,1.9459102,3.8918204,1.3862944,1.0986123,0.0,0.6931472,3.4011974,0.0,0.039991218596696854,0.9987714886665344,0.0
0.0,0.0,2.4849067,1.7917595,3.912023,1.0986123,0.6931472,0.0,0.6931472,4.0430512,0.0,0.07031555473804474,0.9989243149757385,0.0
0.0,0.0,2.8332133,2.3025851,4.5108595,2.4849067,1.0986123,0.0,1.0986123,3.637586,0.0,0.06597103178501129,0.9997218251228333,0.0
1.0986123,0.6931472,1.7917595,1.0986123,3.218876,1.3862944,1.3862944,0.0,0.6931472,3.4011974,0.0,0.048730168491601944,0.9972127079963684,0.0
0.0,0.0,1.3862944,1.609438,3.5263605,0.6931472,0.0,0.0,0.0,3.6109178,0.0,0.0721702128648758,0.9908837676048279,1.0
1.7917595,0.6931472,1.7917595,0.6931472,3.465736,1.609438,1.9459102,0.6931472,1.0986123,3.3672957,0.0,0.032582011073827744,0.9986947178840637,0.0
0.6931472,1.7917595,2.0794415,1.3862944,3.0445225,0.6931472,1.0986123,0.0,0.6931472,3.3672957,0.0,0.03270893916487694,0.9987021684646606,0.0
1.0986123,1.0986123,2.0794415,1.3862944,3.5263605,1.0986123,1.3862944,0.0,0.6931472,3.465736,0.0,0.03569105640053749,0.9986653327941895,1.0
0.0,0.6931472,1.9459102,1.7917595,3.6888795,1.609438,0.6931472,0.0,0.6931472,3.583519,0.0,0.06644226610660553,0.9986114501953125,1.0
0.6931472,1.0986123,2.7725887,1.0986123,3.4965076,1.0986123,1.609438,0.0,1.3862944,3.7612002,0.0,0.05575224757194519,0.9996510744094849,1.0
0.0,1.0986123,2.5649493,1.609438,3.0445225,1.0986123,0.0,0.0,0.0,3.5553482,0.0,0.036521803587675095,0.9976891279220581,1.0
1.609438,1.3862944,2.8332133,1.0986123,3.1780539,0.0,2.1972246,0.0,1.609438,3.4011974,0.0,0.03865598514676094,0.9996767044067383,0.0
1.0986123,0.6931472,1.9459102,0.6931472,2.1972246,0.0,1.0986123,0.0,0.0,3.5553482,0.0,0.04887944459915161,0.9876115918159485,0.0
0.0,0.6931472,2.1972246,1.9459102,3.637586,1.3862944,0.6931472,0.0,0.6931472,3.4965076,0.0,0.06291274726390839,0.9989017248153687,0.0
0.0,1.3862944,2.3025851,1.609438,3.3322046,0.0,0.0,0.0,0.0,3.5263605,0.6931472,0.038211677223443985,0.9982755184173584,0.0
1.0986123,0.0,1.3862944,1.9459102,3.4965076,1.3862944,1.0986123,0.0,0.0,3.295837,0.0,0.0402885302901268,0.9916536211967468,1.0
1.0986123,0.6931472,1.7917595,1.0986123,3.218876,1.3862944,1.3862944,0.0,0.6931472,3.4011974,0.0,0.048730168491601944,0.9972127079963684,0.0
1.0986123,0.0,2.3978953,1.9459102,3.8918204,1.3862944,1.0986123,0.0,0.6931472,3.4011974,0.0,0.039991218596696854,0.9987714886665344,0.0
0.0,0.6931472,2.1972246,1.9459102,3.637586,1.3862944,0.6931472,0.0,0.6931472,3.4965076,0.0,0.06291274726390839,0.9989017248153687,1.0
0.0,0.0,2.4849067,2.0794415,3.6109178,0.0,0.0,0.0,0.0,4.276666,0.0,0.05325262248516083,0.9969868063926697,1.0
0.6931472,0.6931472,1.9459102,0.6931472,2.7080503,0.0,1.0986123,0.6931472,0.6931472,3.1354942,0.0,0.05698048695921898,0.9970676302909851,1.0
0.0,0.0,2.1972246,1.3862944,3.583519,1.3862944,0.0,0.0,0.0,3.8286414,0.0,0.06062022224068642,0.9957941770553589,1.0
0.0,0.0,2.7080503,2.0794415,4.3307333,2.4849067,1.3862944,0.0,1.3862944,3.3322046,0.0,0.08849610388278961,0.9997279047966003,0.0
1.3862944,0.6931472,2.1972246,1.3862944,2.8332133,0.6931472,1.0986123,0.6931472,0.0,3.3672957,0.0,0.018929125741124153,0.995979905128479,1.0
0.0,0.0,2.7080503,2.0794415,4.3307333,2.4849067,1.3862944,0.0,1.3862944,3.3322046,0.0,0.08849610388278961,0.9997279047966003,0.0
0.0,1.3862944,2.3025851,1.609438,3.3322046,0.0,0.0,0.0,0.0,3.5263605,0.6931472,0.038211677223443985,0.9982755184173584,0.0
0.6931472,0.6931472,1.7917595,1.9459102,3.5553482,1.609438,1.0986123,0.0,0.6931472,3.583519,0.0,0.04832351580262184,0.9982099533081055,0.0
0.6931472,1.7917595,2.0794415,1.3862944,3.0445225,0.6931472,1.0986123,0.0,0.6931472,3.3672957,0.0,0.03270893916487694,0.9987021684646606,0.0
0.6931472,0.0,1.609438,1.0986123,3.6109178,1.9459102,0.6931472,1.0986123,0.0,3.0910425,0.0,0.036508623510599136,0.9953847527503967,0.0
1.0986123,0.0,2.6390574,1.9459102,4.276666,2.1972246,1.9459102,0.0,1.7917595,3.8286414,0.0,0.06257912516593933,0.9997847676277161,1.0
0.0,1.3862944,1.9459102,1.0986123,3.6888795,1.3862944,0.6931472,0.0,0.6931472,3.4965076,0.0,0.05931779742240906,0.9988617897033691,1.0
1.3862944,1.3862944,2.3025851,1.609438,4.1108737,2.3025851,1.609438,0.0,0.6931472,3.0910425,0.0,0.01859484240412712,0.9993995428085327,0.0
0.6931472,0.6931472,1.7917595,1.9459102,3.5553482,1.609438,1.0986123,0.0,0.6931472,3.583519,0.0,0.04832351580262184,0.9982099533081055,0.0
0.6931472,1.0986123,0.0,0.0,2.5649493,0.0,0.0,0.6931472,0.0,3.3672957,0.0,0.0632534772157669,0.9536542892456055,0.0
1.0986123,0.6931472,1.7917595,1.0986123,3.218876,1.3862944,1.3862944,0.0,0.6931472,3.4011974,0.0,0.048730168491601944,0.9972127079963684,0.0
0.0,0.6931472,2.4849067,2.3025851,4.2904596,2.1972246,0.6931472,0.0,0.6931472,3.1780539,0.0,0.047853175550699234,0.9994884729385376,1.0
0.0,0.0,2.7080503,2.0794415,4.3307333,2.4849067,1.3862944,0.0,1.3862944,3.3322046,0.0,0.08849610388278961,0.9997279047966003,0.0
0.6931472,1.7917595,2.3025851,1.7917595,3.988984,2.1972246,0.6931472,0.0,0.0,3.4339871,0.0,0.011883401311933994,0.9989437460899353,1.0
1.0986123,1.0986123,0.0,1.0986123,3.1354942,0.6931472,1.0986123,0.0,0.0,3.0910425,0.0,0.04314212501049042,0.9706851840019226,1.0
0.0,0.0,2.8332133,2.3025851,4.5108595,2.4849067,1.0986123,0.0,1.0986123,3.637586,0.0,0.06597103178501129,0.9997218251228333,0.0
0.0,0.6931472,2.1972246,1.9459102,3.637586,1.3862944,0.6931472,0.0,0.6931472,3.4965076,0.0,0.06291274726390839,0.9989017248153687,0.0
1.0986123,0.6931472,0.6931472,0.6931472,2.3978953,0.0,1.0986123,0.0,0.0,3.2580965,0.0,0.06169852241873741,0.9666153788566589,1.0
0.6931472,0.0,0.0,0.6931472,2.0794415,0.6931472,0.6931472,0.0,0.0,3.583519,0.0,0.11132320761680603,0.8831023573875427,0.0
0.6931472,0.0,0.0,0.6931472,2.0794415,0.6931472,0.6931472,0.0,0.0,3.583519,0.0,0.11132320761680603,0.8831023573875427,0.0
1.0986123,0.6931472,1.7917595,1.0986123,3.218876,1.3862944,1.3862944,0.0,0.6931472,3.4011974,0.0,0.048730168491601944,0.9972127079963684,0.0
1.0986123,1.3862944,1.9459102,1.609438,3.4339871,1.609438,1.0986123,0.0,0.0,3.0910425,0.0,0.01595776528120041,0.9973805546760559,1.0
0.6931472,0.0,0.0,0.6931472,2.0794415,0.6931472,0.6931472,0.0,0.0,3.583519,0.0,0.11132320761680603,0.8831023573875427,0.0
1.0986123,1.0986123,1.3862944,0.0,1.609438,0.0,1.0986123,0.0,0.0,3.0910425,0.0,0.05934545397758484,0.9714820981025696,1.0
1.0986123,0.6931472,2.4849067,1.609438,4.0943446,1.9459102,1.0986123,0.0,0.6931472,3.3322046,0.0,0.030631884932518005,0.999283492565155,1.0
1.7917595,0.6931472,1.7917595,0.6931472,3.465736,1.609438,1.9459102,0.6931472,1.0986123,3.3672957,0.0,0.032582011073827744,0.9986947178840637,0.0
1.0986123,0.6931472,1.9459102,0.6931472,2.1972246,0.0,1.0986123,0.0,0.0,3.5553482,0.0,0.04887944459915161,0.9876115918159485,0.0
0.6931472,1.0986123,0.0,0.0,2.5649493,0.0,0.0,0.6931472,0.0,3.3672957,0.0,0.0632534772157669,0.9536542892456055,0.0
1.0986123,0.6931472,1.9459102,0.6931472,2.1972246,0.0,1.0986123,0.0,0.0,3.5553482,0.0,0.04887944459915161,0.9876115918159485,0.0
0.0,0.0,2.8332133,2.3025851,4.5108595,2.4849067,1.0986123,0.0,1.0986123,3.637586,0.0,0.06597103178501129,0.9997218251228333,0.0
0.6931472,0.6931472,0.6931472,1.3862944,2.3978953,1.0986123,0.6931472,0.0,0.0,3.5553482,0.0,0.05528584122657776,0.9703768491744995,1.0
0.0,0.0,0.6931472,2.3978953,3.8501477,1.7917595,0.0,0.0,0.0,3.465736,0.0,0.06555529683828354,0.9867126941680908,1.0
0.6931472,0.6931472,1.0986123,1.609438,3.295837,1.3862944,0.6931472,0.0,0.0,3.871201,0.0,0.04139776527881622,0.9899998307228088,1.0
0.0,0.0,2.7080503,2.0794415,4.3307333,2.4849067,1.3862944,0.0,1.3862944,3.3322046,0.0,0.08849610388278961,0.9997279047966003,0.0
0.0,0.0,2.8332133,2.3025851,4.5108595,2.4849067,1.0986123,0.0,1.0986123,3.637586,0.0,0.06597103178501129,0.9997218251228333,0.0
1.609438,1.3862944,2.8332133,1.0986123,3.1780539,0.0,2.1972246,0.0,1.609438,3.4011974,0.0,0.03865598514676094,0.9996767044067383,0.0
1.609438,1.0986123,0.6931472,1.7917595,3.295837,0.6931472,1.3862944,0.6931472,0.0,3.3672957,0.0,0.014935281127691269,0.9906585216522217,1.0
1.0986123,0.6931472,2.7725887,1.609438,3.8501477,1.9459102,1.7917595,0.0,1.609438,3.6109178,0.0,0.05088960751891136,0.9997560381889343,1.0
1.609438,1.3862944,2.8332133,1.0986123,3.1780539,0.0,2.1972246,0.0,1.609438,3.4011974,0.0,0.03865598514676094,0.9996767044067383,0.0
1.609438,0.6931472,0.6931472,1.0986123,3.295837,0.6931472,1.609438,0.0,0.0,3.1354942,0.0,0.03483167290687561,0.9838464260101318,1.0
