Feature,MeanAbsSHAP
TATA Box,0.3682188846546722
CAAT Box,0.23315238595552717
Sp1 Binding Site,0.23228676102837334
CpG Island,0.13537318752393182
GC Box,0.13122579828463593
BRE (TFIIB),0.12420372702543264
PPE,0.1013803078822899
Octamer Motif,0.05514774278759707
MRE,0.04178828347178926
RFX Binding Site,0.01349802623038229
E-box,0.005037749123029079
